0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
1,Target H5 HPAI: 1
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
1,Target H5 HPAI: 1
0,Target H5 HPAI: 0
1,Target H5 HPAI: 1
1,Target H5 HPAI: 1
1,Target H5 HPAI: 1
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
1,Target H5 HPAI: 1
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
0,Target H5 HPAI: 0
